Year Plot,Plot,community,year,slope,Pos,Maint,RowCol,Herb,Mix,native_species_richness,total_native_cover,NN.Cov,ACMGLA,ACMSTR,ARTCAL,CASEXS,CIROCC,DEIFAS,ENCCAL,ERIFAS,ESCCAL,EUCCHR,GRICAM,ISOMEN,LEYCON,LUPMIC,LUPSUC,MALSAX,MIRCAL,PHACIC,PLAERE,SALAPI,SALCOL,STIPUL,photo_cwm,wue_cwm,sla_cwm,N_cwm,seed_cwm,rdiam_cwm,rmf_cwm,srl_cwm,rtd_cwm,multivariate_FDis,photo_fd,wue_fd,sla_fd,N_fd,seed_fd,rdiam_fd,rmf_fd,srl_fd,rtd_fd
2012 CSSAllHNorthUpper31_W,CSSAllHNorthUpper31_W,CSS,2012,North,Upper,H,31,W,All,4,145.8333333,8.333333333,0,0,0,0,0,0,0,0,41.66666667,0,0,0,0,0,0,0,0,87.5,0,0,4.166666667,0,25.92209284,39.33298411,129.9520233,4.596770833,0.000945297,0.301593892,0.449347478,417.6819116,0.035891297,1.318699864,0.614217679,0.241205496,0.230143491,0.822790832,0.017761268,0.185533276,0.114174668,0.605265096,0.273360805
2012 CSSAllHNorthUpper33_W,CSSAllHNorthUpper33_W,CSS,2012,North,Upper,H,33,W,All,2,62.5,20.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.33333333,0,0,0,0,22.26831616,34.61914018,122.016163,3.883333333,0.0008525,0.327223077,0.443037396,375.2583842,0.03241023,0,0,0,0,0,0,0,0,0,0
2012 CSSAllHNorthUpper41_W,CSSAllHNorthUpper41_W,CSS,2012,North,Upper,H,41,W,All,2,91.66666667,8.333333333,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,87.5,0,0,0,0,22.75798934,35.19261907,123.1132342,3.982575757,0.000865795,0.32323827,0.443409036,382.1628498,0.032876392,0.2527443,0.119733017,0.042683176,0.046277172,0.166478507,0.003611926,0.036402225,0.009781024,0.116602662,0.053246078
2012 CSSAllHNorthUpper43_W,CSSAllHNorthUpper43_W,CSS,2012,North,Upper,H,43,W,All,5,66.66666667,8.333333333,4.166666667,0,0,0,0,0,4.166666667,4.166666667,8.333333333,0,0,0,0,0,0,0,0,45.83333333,0,0,0,0,22.24952237,49.1765075,118.4158698,4.092916666,0.000901063,0.340727395,0.467728425,348.9313452,0.037573781,1.633380447,0.34885667,0.799282288,0.272857229,0.532109046,0.019065048,0.211838869,0.524952371,0.714375552,0.42479144
2012 CSSAllHSouthEast11_W,CSSAllHSouthEast11_W,CSS,2012,South,East,H,11,W,All,5,108.3333333,16.66666667,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,8.333333333,0,66.66666667,0,0,12.5,4.166666667,25.07708498,42.63580072,131.6800197,4.459615384,0.000966269,0.332070713,0.468933407,352.1991748,0.037840292,1.533018187,0.516368904,0.384665123,0.332749289,0.637394693,0.038789754,0.164761611,0.514549499,0.727269877,0.399858203
2012 CSSAllHSouthEast21_W,CSSAllHSouthEast21_W,CSS,2012,South,East,H,21,W,All,7,62.5,8.333333333,4.166666667,0,0,0,0,12.5,4.166666667,8.333333333,0,0,0,0,0,0,0,0,0,20.83333333,0,8.333333333,0,4.166666667,20.15600794,67.11844452,107.3722757,3.564,0.001253633,0.390578442,0.549131606,221.9645348,0.046783447,2.649034311,0.803210419,1.14987299,0.803222614,0.651009431,0.11071932,0.294138205,1.003616518,0.904035033,0.573307068
2012 CSSAllHSouthEast32_W,CSSAllHSouthEast32_W,CSS,2012,South,East,H,32,W,All,6,75,0,0,0,4.166666667,0,0,0,0,12.5,8.333333333,0,0,0,0,0,0,29.16666667,0,16.66666667,0,0,0,4.166666667,21.35702754,57.83458994,139.2207527,4.45037037,0.00067525,0.37883335,0.515498722,243.330565,0.046611952,2.359616482,0.45733472,0.49408552,1.013789385,0.916763431,0.075392057,0.337819716,0.640915904,1.076632549,0.455597758
2012 CSSAllHSouthEast42_W,CSSAllHSouthEast42_W,CSS,2012,South,East,H,42,W,All,6,45.83333333,8.333333333,4.166666667,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,4.166666667,0,12.5,0,0,4.166666667,12.5,25.23203097,56.90822781,122.0420037,4.512121212,0.001657545,0.359520726,0.501832227,272.887589,0.050801006,2.457288588,0.595944686,0.611110248,0.542245924,0.686150456,0.165906933,0.311139748,0.69586769,1.311877205,0.932616764
2012 CSSAllHSouthEast51_W,CSSAllHSouthEast51_W,CSS,2012,South,East,H,51,W,All,8,100,8.333333333,4.166666667,0,0,0,0,0,0,29.16666667,25,0,0,0,4.166666667,0,0,0,0,16.66666667,0,4.166666667,8.333333333,8.333333333,23.19843466,61.03110271,101.395803,4.078055556,0.001157521,0.335381841,0.518218747,292.9131227,0.050020053,2.643633047,0.908400976,0.630968753,0.768634164,1.016307277,0.090063921,0.242280132,0.807345525,1.27888204,0.663876117
2012 CSSAllHSouthWest11_W,CSSAllHSouthWest11_W,CSS,2012,South,West,H,11,W,All,6,37.5,0,4.166666667,0,0,0,0,0,0,12.5,4.166666667,0,0,0,0,0,0,0,0,8.333333333,0,0,4.166666667,0,20.98088895,62.56616214,96.94220443,3.734166667,0.000718813,0.359305115,0.52106604,269.7709237,0.046065311,2.360484711,0.804190461,0.726061517,0.756902038,0.829626971,0.037280736,0.298433466,0.778593306,1.035791097,0.53138951
2012 CSSAllHSouthWest21_W,CSSAllHSouthWest21_W,CSS,2012,South,West,H,21,W,All,5,29.16666667,4.166666667,4.166666667,0,0,0,0,0,0,4.166666667,12.5,0,0,0,0,0,0,4.166666667,0,0,0,0,4.166666667,0,25.68722539,65.20207688,129.6192796,4.865238095,0.000829286,0.356044202,0.514551991,314.6280397,0.046243606,2.76277335,1.018621227,0.679984353,0.765128419,1.025254376,0.04393337,0.503193002,0.748439313,1.61147048,0.271932074
2012 CSSAllHSouthWest32_W,CSSAllHSouthWest32_W,CSS,2012,South,West,H,32,W,All,3,12.5,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,0,0,4.166666667,0,0,0,4.166666667,21.56942601,58.96622758,124.9112811,3.307777778,0.0102925,0.467203248,0.463879621,184.2651351,0.055385325,2.941420794,0.478969839,0.632802874,0.549129901,0.889101063,1.51195206,0.812186282,0.640786124,1.126363445,0.931781249
2012 CSSAllHSouthWest42_W,CSSAllHSouthWest42_W,CSS,2012,South,West,H,42,W,All,5,33.33333333,33.33333333,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,8.333333333,0,8.333333333,0,0,0,8.333333333,24.74587927,52.01928568,137.6718081,4.713333333,0.001551,0.362198593,0.497158336,259.0431141,0.051015183,2.288665979,0.430473345,0.440923488,0.792912741,0.649391531,0.182471014,0.289591008,0.607315649,1.265103481,0.948080465
2012 CSSAllHSouthWest51_W,CSSAllHSouthWest51_W,CSS,2012,South,West,H,51,W,All,4,104.1666667,12.5,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,37.5,0,0,20.83333333,8.333333333,28.32201028,46.11665524,130.7042601,4.898,0.0012021,0.308997212,0.477258279,378.2509329,0.041576791,1.885316128,0.596005437,0.322737307,0.280253303,0.739362385,0.059035716,0.239240962,0.598188559,0.948408833,0.402727351
2012 CSSAllHSouthWest61_W,CSSAllHSouthWest61_W,CSS,2012,South,West,H,61,W,All,3,20.83333333,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,4.166666667,0,24.56650478,40.78855278,125.1641275,4.1325,0.000863625,0.341353975,0.473077858,334.9009973,0.03461988,1.079875534,0.441527674,0.360784409,0.104334144,0.328409264,0.002374654,0.101427344,0.621202712,0.535508153,0.19830758
2012 CSSAllHSouthWest72_W,CSSAllHSouthWest72_W,CSS,2012,South,West,H,72,W,All,5,45.83333333,37.5,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,8.333333333,0,16.66666667,0,0,12.5,0,24.16018943,51.09432957,134.0704671,4.359,0.00068875,0.373379898,0.509777703,261.0096797,0.040121227,1.811391281,0.561057708,0.51384613,0.556521186,0.615959583,0.036422036,0.211075916,0.736060753,0.80852427,0.369083908
2012 CSSAllHSouthWest82_W,CSSAllHSouthWest82_W,CSS,2012,South,West,H,82,W,All,5,83.33333333,8.333333333,0,0,4.166666667,0,0,0,0,25,8.333333333,0,0,0,0,0,0,41.66666667,0,4.166666667,0,0,0,0,20.07763149,63.45709039,140.3575194,4.423333333,0.0003768,0.39507122,0.535546337,205.9428352,0.048416023,2.263025932,0.522037341,0.238911452,1.26017585,1.085471334,0.028632459,0.349484357,0.360053083,0.718076001,0.305279085
2012 CSSAllLNorthLower11_W,CSSAllLNorthLower11_W,CSS,2012,North,Lower,L,11,W,All,5,108.3333333,20.83333333,0,0,0,0,0,0,0,0,16.66666667,0,0,0,4.166666667,0,0,4.166666667,0,75,0,0,8.333333333,0,24.7469805,41.74586266,128.6579257,4.339230769,0.000914519,0.326773697,0.465316171,366.3133835,0.037150631,1.37355073,0.473119314,0.384708416,0.254012641,0.607108588,0.020331624,0.128412913,0.485082474,0.547357801,0.392707152
2012 CSSAllLNorthLower13_W,CSSAllLNorthLower13_W,CSS,2012,North,Lower,L,13,W,All,7,120.8333333,4.166666667,0,0,0,0,0,0,0,8.333333333,16.66666667,0,0,0,0,0,0,12.5,0,70.83333333,0,4.166666667,4.166666667,4.166666667,23.11575426,46.35250132,125.1294326,4.236091954,0.000962552,0.338209218,0.474744201,336.3220945,0.039317024,1.787589807,0.454118449,0.536310184,0.467625242,0.682457347,0.052844739,0.192356997,0.601958115,0.869513595,0.484486864
2012 CSSAllLNorthLower21_W,CSSAllLNorthLower21_W,CSS,2012,North,Lower,L,21,W,All,3,83.33333333,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,37.5,0,0,0,0,21.80502628,49.29005974,159.1238915,4.606666667,0.0005305,0.397664872,0.490422987,255.1877826,0.039237252,1.801214779,0.059338125,0.571965749,0.81991672,0.635583593,0.045821041,0.337073386,0.653253542,1.062156415,0.408465959
2012 CSSAllLNorthLower23_W,CSSAllLNorthLower23_W,CSS,2012,North,Lower,L,23,W,All,6,87.5,4.166666667,0,0,0,0,0,12.5,0,4.166666667,4.166666667,0,0,0,4.166666667,0,0,0,0,58.33333333,0,0,4.166666667,0,24.21429836,42.82988216,126.2322781,4.008253968,0.000869262,0.341458659,0.497700497,322.614882,0.039268104,1.747032359,0.439083586,0.426809255,0.329070286,0.288326227,0.017404329,0.139090066,1.065809073,0.793242976,0.547082489
2012 CSSAllLNorthLower31_W,CSSAllLNorthLower31_W,CSS,2012,North,Lower,L,31,W,All,1,8.333333333,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.46194504,66.6544047,56.35271621,2.756666667,0.0003695,0.337453333,0.560412557,197.3423886,0.055696316,0,0,0,0,0,0,0,0,0,0
2012 CSSAllLNorthLower33_W,CSSAllLNorthLower33_W,CSS,2012,North,Lower,L,33,W,All,4,54.16666667,0,0,0,0,0,0,0,0,0,16.66666667,0,0,0,4.166666667,0,0,0,0,29.16666667,0,0,0,4.166666667,26.20662303,44.76129764,125.2314073,4.558717949,0.001245577,0.308742226,0.468784885,382.0175317,0.043045207,1.904986101,0.544070655,0.425821631,0.284459464,0.815393801,0.069045635,0.203728599,0.531326137,0.790101405,0.699214839
2012 CSSAllLNorthUpper11_W,CSSAllLNorthUpper11_W,CSS,2012,North,Upper,L,11,W,All,2,16.66666667,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,20.56672338,42.62795631,105.6003013,3.601666666,0.00073175,0.329780641,0.472381186,330.7793853,0.038231752,1.323089972,0.326909766,0.468351882,0.544076936,0.371245255,0.025774336,0.018357427,0.60679633,0.590198434,0.52245914
2012 CSSAllLNorthUpper13_W,CSSAllLNorthUpper13_W,CSS,2012,North,Upper,L,13,W,All,3,58.33333333,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,41.66666667,0,0,4.166666667,0,25.23340075,39.08537282,128.0874886,4.422380952,0.000918357,0.312474958,0.453372401,396.2773256,0.035239177,1.170696972,0.542525366,0.248745933,0.191642073,0.676648761,0.01382211,0.149537397,0.216294728,0.496187673,0.241797263
2012 CSSAllLNorthUpper21_W,CSSAllLNorthUpper21_W,CSS,2012,North,Upper,L,21,W,All,2,116.6666667,12.5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,91.66666667,0,0,0,0,24.57677543,37.32268351,127.1880702,4.351190476,0.000915179,0.308437559,0.444789412,407.8080075,0.034607849,0.980765781,0.46461996,0.165630635,0.179577013,0.646014265,0.014015959,0.141257614,0.037954936,0.452472722,0.206619619
2012 CSSAllLNorthUpper23_W,CSSAllLNorthUpper23_W,CSS,2012,North,Upper,L,23,W,All,3,70.83333333,8.333333333,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,50,0,0,0,0,24.42287814,37.14244729,126.8432764,4.32,0.000911,0.309689927,0.444672611,405.6380327,0.034461341,0.932024694,0.441529756,0.157399294,0.170652579,0.613909314,0.013319408,0.134237539,0.03606869,0.429986199,0.19635125
2012 CSSAllLNorthUpper31_W,CSSAllLNorthUpper31_W,CSS,2012,North,Upper,L,31,W,All,4,95.83333333,16.66666667,4.166666667,0,0,0,0,0,0,0,8.333333333,0,0,0,4.166666667,0,0,0,0,79.16666667,0,0,0,0,22.94635333,42.07743452,121.3503704,4.016086956,0.000923152,0.334476318,0.459192478,363.3459235,0.036397026,1.072059392,0.260688409,0.480405495,0.119609663,0.313359604,0.016959149,0.13633451,0.387089878,0.426119013,0.39409813
2012 CSSAllLNorthUpper33_W,CSSAllLNorthUpper33_W,CSS,2012,North,Upper,L,33,W,All,3,79.16666667,16.66666667,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,62.5,0,0,0,8.333333333,23.84562728,38.60513364,121.2421719,4.151754386,0.001193026,0.320664955,0.453431096,365.7148978,0.038367185,1.068934365,0.318981885,0.245367435,0.142874621,0.372407508,0.077950404,0.081707541,0.232678238,0.433957722,0.562751318
2012 CSSAllLNorthUpper41_W,CSSAllLNorthUpper41_W,CSS,2012,North,Upper,L,41,W,All,3,66.66666667,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,54.16666667,0,0,0,4.166666667,23.87814526,37.77435727,123.0650787,4.179166666,0.001072969,0.317850083,0.44971966,379.0855793,0.036588144,0.917021393,0.335053485,0.199891947,0.127528228,0.422410467,0.050981134,0.09366032,0.149696784,0.327462781,0.40619767
2012 CSSAllLNorthUpper43_W,CSSAllLNorthUpper43_W,CSS,2012,North,Upper,L,43,W,All,5,62.5,8.333333333,0,0,0,0,0,0,0,0,4.166666667,0,0,0,4.166666667,0,0,0,0,37.5,0,0,4.166666667,12.5,24.70135652,45.89759988,116.6165875,4.147333333,0.001529967,0.335889541,0.48380267,307.6331787,0.046343408,1.938125833,0.373948298,0.527647306,0.283185049,0.346788467,0.134999096,0.111225891,0.73428665,0.976786589,1.070338945
2012 CSSAllLSouthEast11_W,CSSAllLSouthEast11_W,CSS,2012,South,East,L,11,W,All,4,58.33333333,33.33333333,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,8.333333333,0,33.33333333,0,0,8.333333333,0,24.98817111,44.13857233,137.8651461,4.544285714,0.000808643,0.342900424,0.474910125,339.590883,0.037088544,1.630075544,0.531562881,0.424146294,0.420782244,0.663737441,0.024400329,0.227023799,0.595502406,0.834656596,0.319893843
2012 CSSAllLSouthEast21_W,CSSAllLSouthEast21_W,CSS,2012,South,East,L,21,W,All,2,87.5,29.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,54.16666667,0,0,0,0,21.91533339,45.79698365,150.288718,4.434444444,0.000607167,0.380893016,0.479140703,283.776021,0.037611771,1.699105097,0.055974286,0.539541387,0.77343618,0.599552777,0.043223477,0.317964918,0.616221029,1.001943466,0.385310292
2012 CSSAllLSouthEast32_W,CSSAllLSouthEast32_W,CSS,2012,South,East,L,32,W,All,1,4.166666667,0,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,33.04112608,47.23567572,146.15173,6.066666667,0.001145,0.239557327,0.451213472,527.1566265,0.042665784,0,0,0,0,0,0,0,0,0,0
2012 CSSAllLSouthEast42_W,CSSAllLSouthEast42_W,CSS,2012,South,East,L,42,W,All,7,66.66666667,20.83333333,0,0,0,0,0,0,0,8.333333333,4.166666667,0,0,0,4.166666667,0,0,12.5,0,16.66666667,0,0,12.5,8.333333333,24.41062785,56.2052552,126.2035407,4.362916667,0.001128156,0.368522567,0.523056309,239.5751707,0.049152334,2.204923851,0.571128904,0.464493431,0.704975632,0.676177101,0.10801341,0.232182726,0.675369184,0.918130311,0.795970976
2012 CSSAllLSouthEast51_W,CSSAllLSouthEast51_W,CSS,2012,South,East,L,51,W,All,6,83.33333333,8.333333333,4.166666667,0,0,0,0,0,0,4.166666667,20.83333333,0,0,0,8.333333333,0,0,0,0,0,0,0,0,4.166666667,27.18968249,66.89989475,115.6847563,4.735666667,0.00144845,0.329670026,0.524585727,323.6651927,0.056708385,3.075385211,0.749452348,0.82336804,0.673185402,1.16953239,0.089639902,0.431201287,1.011503397,1.800105345,0.900273419
2012 CSSAllLSouthWest11_W,CSSAllLSouthWest11_W,CSS,2012,South,West,L,11,W,All,4,66.66666667,12.5,0,0,0,0,0,0,0,4.166666667,8.333333333,0,0,0,0,0,0,29.16666667,0,25,0,0,0,0,22.78414056,51.03546577,153.3984059,4.71875,0.000577125,0.37854082,0.492857745,278.0641383,0.041121199,2.070473388,0.328428436,0.517044578,0.828121556,0.766059459,0.049592028,0.375011461,0.658640239,1.195716627,0.390887958
2012 CSSAllLSouthWest21_W,CSSAllLSouthWest21_W,CSS,2012,South,West,L,21,W,All,3,20.83333333,16.66666667,8.333333333,0,0,0,0,0,0,8.333333333,4.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7619822,86.02703158,84.44639641,3.472,0.0007348,0.416625106,0.549128974,214.2234777,0.05189107,2.4266896,0.782780527,1.209148066,0.545366012,0.911959942,0.041586152,0.641995175,0.539941768,1.107295031,0.220782383
2012 CSSAllLSouthWest32_W,CSSAllLSouthWest32_W,CSS,2012,South,West,L,32,W,All,8,112.5,29.16666667,0,0,4.166666667,0,0,8.333333333,0,4.166666667,4.166666667,0,0,0,0,0,0,4.166666667,0,58.33333333,0,0,20.83333333,8.333333333,24.41816258,47.40019215,125.6040163,4.162592592,0.001007278,0.350016064,0.503949708,293.5214244,0.041344784,1.913547275,0.564838353,0.517216858,0.3647238,0.447033515,0.060221589,0.156712514,0.924686009,0.902926319,0.55648604
2012 CSSAllLSouthWest42_W,CSSAllLSouthWest42_W,CSS,2012,South,West,L,42,W,All,2,16.66666667,29.16666667,0,0,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,12.5,0,0,0,0,24.96151864,37.77327407,128.0500548,4.429166667,0.000925625,0.305306639,0.445081415,413.2329448,0.034974119,1.092216438,0.517417682,0.184452298,0.199983491,0.719424977,0.015608682,0.157309616,0.042267997,0.503890077,0.230099121
2012 CSSAllLSouthWest51_W,CSSAllLSouthWest51_W,CSS,2012,South,West,L,51,W,All,4,25,4.166666667,4.166666667,0,0,0,0,0,0,4.166666667,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,18.1052562,65.17200537,95.518113,3.353333333,0.000742375,0.394057564,0.508322623,255.6242873,0.043303811,2.317290986,0.53320433,1.191144997,0.585489738,0.465704107,0.026530312,0.455241334,0.900016342,1.05829505,0.651771301
2012 CSSAllLSouthWest72_W,CSSAllLSouthWest72_W,CSS,2012,South,West,L,72,W,All,7,112.5,20.83333333,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,33.33333333,4.166666667,37.5,0,4.166666667,12.5,4.166666667,21.74363608,56.24294639,133.0328894,4.227489712,0.000817062,0.384375608,0.512643307,232.1912632,0.044075447,2.131169006,0.411228858,0.562022327,0.880669957,0.734073945,0.070188737,0.268307244,0.66623989,0.843723933,0.502874521
2012 CSSAllLSouthWest82_W,CSSAllLSouthWest82_W,CSS,2012,South,West,L,82,W,All,6,37.5,0,0,0,0,0,0,0,0,8.333333333,4.166666667,0,0,0,0,0,0,4.166666667,0,12.5,0,4.166666667,0,0,19.85657049,58.84490711,108.0591416,3.81125,0.000929375,0.354465701,0.504875002,287.6866578,0.043291251,2.493954671,0.701396259,0.821506269,0.928766262,0.876581807,0.073685428,0.27593589,0.824309082,1.110594868,0.497620412
2012 CSSAllMNorthLower11_W,CSSAllMNorthLower11_W,CSS,2012,North,Lower,M,11,W,All,4,91.66666667,4.166666667,0,0,0,0,0,0,0,0,4.166666667,0,0,0,4.166666667,0,0,0,0,37.5,0,0,0,0,23.60176287,40.86896182,122.0961591,4.052727272,0.000969773,0.326985132,0.46300331,363.8707073,0.03796955,1.148263679,0.279470831,0.398712756,0.096640318,0.321749519,0.027307751,0.076064311,0.47995791,0.427467642,0.544284643
2012 CSSAllMNorthLower13_W,CSSAllMNorthLower13_W,CSS,2012,North,Lower,M,13,W,All,6,120.8333333,0,0,0,0,0,0,0,4.166666667,0,8.333333333,0,0,0,4.166666667,0,0,4.166666667,0,95.83333333,0,0,4.166666667,0,23.25151677,42.23491288,125.8761359,4.145287356,0.000908207,0.335195031,0.462358001,353.8297747,0.036287199,1.144772033,0.271182047,0.470962681,0.18230918,0.400372005,0.019550956,0.123631463,0.443680997,0.512165773,0.367939793
2012 CSSAllMNorthLower21_W,CSSAllMNorthLower21_W,CSS,2012,North,Lower,M,21,W,All,4,70.83333333,20.83333333,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0,0,0,0,50,0,8.333333333,0,4.166666667,21.95669022,47.91548941,113.7468717,3.931960784,0.001287353,0.33537351,0.467797559,348.6841139,0.038291372,1.699226794,0.458550998,0.738061411,0.426421818,0.474227472,0.092126597,0.162940866,0.535688273,0.703354643,0.496762242
